"path","folder","type","decision","reason","next_action","commit_candidate"
"assets/style_samples/STYLE_SAMPLES_PMO_SELECTION_REPORT.md","root","report","direction_lock_candidate","PMO selection report is the safest compact record of what to keep and reject","commit this report if preserving the selection pass","true"
"assets/style_samples/STYLE_SAMPLES_PMO_SELECTION_TABLE.csv","root","report_table","direction_lock_candidate","CSV gives reviewable file/group decisions without committing the whole sample tree","commit this table with the report","true"
"assets/style_samples/**/*.import","all","sidecar","delete_candidate","Godot import sidecars are generated byproducts and must not define art direction","exclude from commit and consider ignore cleanup","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/HYBRID_PRODUCTION_CANDIDATE_NOTES.md","hybrid_production_candidate","notes","direction_lock_candidate","Captures hybrid 2D/cartoon pipeline and adult Yunseo/R01 readability rules without requiring PNG adoption","optional visual-direction commit after PMO approval","true"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_contact_sheet.png","hybrid_production_candidate","contact_sheet","direction_lock_candidate","Best compact visual proof of hybrid 2D grammar, but not final production art","optional PMO visual lock artifact only","true"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_mock_480x270.png","hybrid_production_candidate","mock","reference_archive","Useful viewport readability test but 480x270 is not final map size","keep off-commit unless PMO wants visual appendix","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_high_density_mock_480x270.png","hybrid_production_candidate","mock","reference_archive","Useful density stress reference but not a world-space map plan","use for future readability criteria only","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_game_scale_preview.png","hybrid_production_candidate","preview","reference_archive","Shows scale direction but duplicates contact sheet value","do not commit unless visual appendix is requested","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/yunseo_hybrid_candidate.png","hybrid_production_candidate","character_png","reference_archive","Adult worker direction is useful, but Yunseo still needs redesign from story/personality rules","use as reference, not as final lock","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/yunseo_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file is operational and too heavy for direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/coupon_swarm_hybrid_candidate.png","hybrid_production_candidate","enemy_png","reference_archive","Coupon paper threat silhouette is useful but must be rebuilt against final Yunseo/map scale","keep as reference only","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/coupon_swarm_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file should not be committed for direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/mailbox_hybrid_candidate.png","hybrid_production_candidate","enemy_png","reference_archive","Mailbox infrastructure enemy is strong but not final runtime art","rebuild after R01 systems and scale are locked","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/mailbox_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file is not direction-lock material","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/happy_guarantee_consultant_hybrid_candidate.png","hybrid_production_candidate","enemy_png","reference_archive","Consultant elite role is useful but still too cute and needs stronger sales/procedure threat","redesign with final R01 elite brief","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/happy_guarantee_consultant_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file is not needed for minimum lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/r01_openhouse_battlefield_candidate.png","hybrid_production_candidate","map_png","rejected_archive","Reads as polished arena/background, not world-space RPG local map","do not commit; redesign R01 map","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/r01_openhouse_battlefield_candidate_source.png","hybrid_production_candidate","source_png","delete_candidate","Large source image for rejected arena direction","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/r01_ad_environment_props_candidate.png","hybrid_production_candidate","props_png","reference_archive","Props show open-house language but still skew decorative unless tied to command roles","use as secondary prop reference only","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/r01_ad_environment_props_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file is not minimum direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/smile_home_mother_in_law_boss_candidate.png","hybrid_production_candidate","boss_png","rejected_archive","Existing boss candidate is explicitly not approved and needs separate redesign as family suitability review node","keep only as what-not-to-ship reference if needed","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/smile_home_mother_in_law_boss_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Unapproved boss source image should not enter repo","exclude from commit","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/hybrid_contact_sheet.png","hybrid_2d_cutout","contact_sheet","reference_archive","Useful predecessor showing adult Yunseo and hybrid cutout scale but weaker than production candidate notes","archive only if PMO wants lineage","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/hybrid_mock_480x270_warm_contrast.png","hybrid_2d_cutout","mock","reference_archive","Warm contrast lesson is useful, but map composition is obsolete","use as background contrast reference only","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/hybrid_background_contrast_sheet.png","hybrid_2d_cutout","sheet","reference_archive","Documents mint-on-mint readability issue and warm-floor fix","reference only","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/*chromakey.png","hybrid_2d_cutout","source_png","delete_candidate","Chromakey/source variants are operational byproducts, not direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/*cutout.png","hybrid_2d_cutout","cutout_png","reference_archive","Older cutouts are superseded by later candidate sheets","do not commit as lock","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/r01_suburb_openhouse_background_warm_contrast_480x270.png","hybrid_2d_cutout","background_mock","rejected_archive","Still too much like a normal clean open-house arena/background","redesign from world-space map logic","false"
"assets/style_samples/p0_direction/hybrid_2d_cutout/r01_suburb_openhouse_background_warm_contrast_source.png","hybrid_2d_cutout","source_png","delete_candidate","Source image for rejected/obsolete map mock","exclude from repo","false"
"assets/style_samples/p0_direction/production_cleanup_v2/**","production_cleanup_v2","pixel_cleanup","rejected_archive","Pixel cleanup failed as final commercial direction and remains prototype/failure history only","do not use for direction lock","false"
"assets/style_samples/p0_direction/production_cleanup_v2_polish/**","production_cleanup_v2_polish","pixel_cleanup","rejected_archive","Polished fixed-pixel prototype is still not final art direction","preserve only outside repo if needed","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/R01_ENVIRONMENT_MODULAR_NOTES.md","r01_environment_modular_candidate","notes","direction_lock_candidate","Best surviving rule document for R01 as advertising infrastructure ecology","optional direction-lock commit after PMO approval","true"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_modular_environment_contact_sheet.png","r01_environment_modular_candidate","contact_sheet","direction_lock_candidate","Best compact visual of R01 media hierarchy, but current map still needs redesign","optional PMO visual lock artifact only","true"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_combat_field_480x270_mock.png","r01_environment_modular_candidate","mock","reference_archive","Shows center/edge readability but is not final map size or layout","use only as viewport readability reference","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_high_density_480x270_mock.png","r01_environment_modular_candidate","mock","reference_archive","Useful density stress reference for enemy size hierarchy","keep off-commit unless visual appendix is requested","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_model_house_corruption_variants.png","r01_environment_modular_candidate","world_props","reference_archive","Shows stronger model-house corruption than earlier maps but still not final map architecture","use as redesign reference","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_ad_props_cutout_sheet.png","r01_environment_modular_candidate","props_sheet","reference_archive","Contains infrastructure prop cues but needs command-role redesign","reference only","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_enemy_size_hierarchy_sheet.png","r01_environment_modular_candidate","scale_sheet","reference_archive","Useful hierarchy reference, not art approval","use for future scale spec","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/*source*","r01_environment_modular_candidate","source_png","delete_candidate","Source/chromakey files are not needed for minimum direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/r01_environment_modular_candidate/r01_ad_media_hierarchy_props_alpha_v2.png","r01_environment_modular_candidate","alpha_sheet","delete_candidate","Alpha/source sheet is operational and superseded by contact sheet/notes for PMO purposes","exclude from repo","false"
"assets/style_samples/p0_direction/r01_environment_atlas_pilot/R01_ENVIRONMENT_ATLAS_PILOT_NOTES.md","r01_environment_atlas_pilot","notes","reference_archive","Useful structural atlas notes, but atlas work should restart after world-space map redesign","archive as reference only","false"
"assets/style_samples/p0_direction/r01_environment_atlas_pilot/r01_environment_atlas_pilot.png","r01_environment_atlas_pilot","atlas_png","reference_archive","Pilot atlas is structural reference, not final production atlas","redo after redesign","false"
"assets/style_samples/p0_direction/r01_environment_atlas_pilot/r01_tile_prop_breakdown_sheet.png","r01_environment_atlas_pilot","sheet","reference_archive","Breakdown is useful but tied to current non-final pilot","reference only","false"
"assets/style_samples/p0_direction/r01_environment_atlas_pilot/*480x270_mock.png","r01_environment_atlas_pilot","mock","reference_archive","Viewport mock only; not final map size or lock","reference only","false"
"assets/style_samples/p0_direction/r01_environment_atlas_slicing_spec/R01_ENVIRONMENT_ATLAS_SLICING_SPEC.md","r01_environment_atlas_slicing_spec","spec_doc","reference_archive","Good slicing/pivot thinking but must be rewritten after new map kit exists","archive as technical reference","false"
"assets/style_samples/p0_direction/r01_environment_atlas_slicing_spec/r01_atlas_rect_pivot_guide.png","r01_environment_atlas_slicing_spec","guide_png","reference_archive","Useful technical guide but not final visual direction","reference only","false"
"assets/style_samples/p0_direction/r01_environment_atlas_slicing_spec/r01_*_atlas_spec.png","r01_environment_atlas_slicing_spec","atlas_spec_png","reference_archive","Spec PNGs are guide images, not production atlases","redo after redesign","false"
"assets/style_samples/p0_direction/r01_environment_atlas_slicing_spec/*480x270_mock.png","r01_environment_atlas_slicing_spec","mock","reference_archive","Viewport mock only and not final map architecture","reference only","false"
"assets/style_samples/p0_direction/sample_p0_style_contact_sheet_v2.png","root_samples","contact_sheet","rejected_archive","Early sample sheet is useful only as prompt/failure history","do not use as lock","false"
"assets/style_samples/p0_direction/sample_*_style*.png","root_samples","sample_png","delete_candidate","Individual early sample PNGs are superseded and not direction-lock material","exclude from repo","false"
"assets/art_inbox/**","out_of_scope","external","delete_candidate","Explicitly out of scope for this style_samples pass","do not judge or commit from this task","false"
